Protein,Log2 Fold,p-value,Unique Pep,Sig1,Sig2,Clamped
slr1842,0.9938913169,0.00E+00,4,TRUE,FALSE,0.9938913169
sll1499,0.9887360505,0.00E+00,30,TRUE,FALSE,0.9887360505
slr0118,0.9709955237,5.00E-15,8,TRUE,FALSE,0.9709955237
sll0764,0.9643077305,0.00E+00,12,TRUE,FALSE,0.9643077305
slr1031,0.9359536621,0.00E+00,9,TRUE,FALSE,0.9359536621
slr0444,0.9345637488,7.98E-08,9,TRUE,FALSE,0.9345637488
sll0244,0.9187066572,9.87E-14,2,TRUE,FALSE,0.9187066572
sll0066,0.9108640429,3.75E-13,4,TRUE,FALSE,0.9108640429
sll0771,0.9068628528,3.21E-11,1,FALSE,FALSE,0
slr1924,0.9014323734,1.11E-15,5,TRUE,FALSE,0.9014323734
sll1987,0.8920183578,0.00E+00,16,TRUE,FALSE,0.8920183578
slr0331,0.8851408683,0.00E+00,2,TRUE,FALSE,0.8851408683
sll1459,0.8802173944,5.41E-09,3,TRUE,FALSE,0.8802173944
slr0918,0.8710133784,1.89E-11,1,FALSE,FALSE,0
sll1579,0.8645130771,0.00E+00,18,TRUE,FALSE,0.8645130771
sll1709,0.8629209947,0.00E+00,5,TRUE,FALSE,0.8629209947
smr0005,0.8605447508,1.62E-13,1,FALSE,FALSE,0
sll0018,0.8491681078,0.00E+00,14,TRUE,FALSE,0.8491681078
sll0593,0.8467435976,0.00E+00,7,TRUE,FALSE,0.8467435976
